Player1,Player2,Round,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPW.1,BPC.1,NPW.1,NPA.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPW.2,BPC.2,NPW.2,NPA.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Tommy Robredo,David Ferrer,5,0,0,3,59,22,41,9,2,2,9,28,0,1,4,7,46,2,1,1,NA,NA,47,25,53,22,1,3,26,18,7,12,13,15,84,6,6,6,NA,NA
Rafael Nadal,Stanislas Wawrinka,5,1,3,0,75,40,25,11,5,0,31,17,7,12,13,16,96,6,6,6,NA,NA,60,30,40,12,3,4,23,40,1,5,16,30,64,2,3,1,NA,NA
Novak Djokovic,Tommy Haas,5,1,3,0,64,41,36,22,11,0,46,25,5,12,22,27,116,6,7,7,NA,NA,60,48,40,21,4,5,19,34,2,2,2,17,84,3,6,5,NA,NA
David Ferrer,Jo-Wilfried Tsonga,6,1,3,0,60,35,40,23,3,1,24,21,6,17,17,22,107,6,7,6,NA,NA,58,37,42,17,6,3,31,56,2,5,7,16,84,1,6,2,NA,NA
Novak Djokovic,Rafael Nadal,6,0,2,3,67,76,33,30,5,2,54,75,5,9,32,50,158,4,6,1,7,7,64,73,36,35,6,3,61,44,8,16,15,26,177,6,3,6,6,9
Rafael Nadal,David Ferrer,7,1,3,0,70,43,30,11,5,2,35,25,8,16,13,17,100,6,6,6,NA,NA,62,31,38,8,1,5,22,35,3,12,10,14,72,3,2,3,NA,NA
Richard Gasquet,Michael Russell,1,1,3,0,63,45,37,16,7,7,,,5,16,18,25,106,6,6,6,NA,NA,59,37,41,17,6,4,,,1,3,30,40,83,3,4,2,NA,NA
Stephane Robert,Albano Olivetti,1,1,3,0,61,44,39,19,3,2,,,4,13,,,99,6,6,6,NA,NA,56,37,44,15,18,8,,,0,1,,,71,3,3,4,NA,NA
Jan-Lennard Struff,Guillaume Rufin,1,0,2,3,55,61,45,32,11,13,,,5,13,,,149,6,3,6,6,1,55,66,45,27,10,9,,,5,15,,,149,7,6,2,2,6
Aljaz Bedene,Dmitry Tursunov,1,0,1,3,52,41,48,19,13,8,,,2,9,,,97,5,6,3,0,NA,55,52,45,27,16,3,,,6,9,,,121,7,4,6,6,NA
Feliciano Lopez,Florent Serra,1,1,3,1,58,54,42,30,21,3,,,5,16,,,148,6,6,6,6,NA,61,63,39,30,8,2,,,0,3,,,123,7,2,3,3,NA
Kenny De Schepper,Bradley Klahn,1,0,1,3,59,68,41,37,20,11,,,1,1,30,42,133,7,2,6,6,NA,71,72,29,26,6,1,,,3,11,30,48,151,6,6,7,7,NA
Andrey Kuznetsov,Dudi Sela,1,0,2,3,53,59,47,44,8,8,,,10,18,,,183,6,3,7,7,4,59,65,41,38,2,7,,,11,26,,,187,7,6,6,5,6
Pablo Cuevas,Janko Tipsarevic,1,0,1,2,51,39,49,24,17,6,,,0,1,5,10,82,3,7,3,NA,NA,55,42,45,28,12,2,,,2,9,10,10,104,6,6,6,NA,NA
Ernests Gulbis,Andreas Haider-Maurer,1,0,2,3,58,68,42,31,15,8,,,5,22,,,159,6,3,6,6,4,49,58,51,43,10,12,,,4,14,,,160,3,6,1,7,6
Mikhail Kukushkin,Andrej Martin,1,1,3,0,51,35,49,27,4,5,,,9,11,,,117,6,7,7,NA,NA,49,35,51,20,4,3,,,7,12,,,103,4,6,5,NA,NA
Roberto Bautista Agut,Thomaz Bellucci,1,1,3,0,75,44,25,12,1,1,,,6,10,,,87,6,6,6,NA,NA,57,28,43,10,7,2,,,1,4,,,65,3,2,2,NA,NA
Nick Kyrgios,David Ferrer,1,0,0,3,69,44,31,9,8,3,,,1,3,13,19,75,5,3,2,NA,NA,55,40,45,21,11,2,,,5,11,6,6,103,7,6,6,NA,NA
Tommy Robredo,Marinko Matosevic,1,1,3,1,54,49,46,30,9,3,,,9,16,9,14,138,6,6,6,6,NA,59,44,41,27,7,3,,,3,9,34,53,119,3,7,3,2,NA
Robin Haase,Frank Dancevic,1,0,1,3,58,65,42,34,19,4,,,3,15,,,149,6,6,5,6,NA,64,68,36,34,14,3,,,3,4,,,154,7,3,7,7,NA
Albert Ramos,Bernard Tomic,1,0,2,3,55,76,45,42,9,9,,,4,15,26,38,165,3,6,6,6,3,68,71,32,28,9,2,,,5,17,28,41,173,6,3,4,7,6
Daniel Evans,Kei Nishikori,1,1,3,0,48,35,52,25,8,4,,,6,9,16,24,102,6,6,6,NA,NA,54,30,46,15,3,8,,,2,9,10,18,80,4,4,2,NA,NA
Fernando Verdasco,Ivan Dodig,1,0,2,3,59,58,41,23,5,14,,,6,17,15,22,144,3,5,6,6,3,57,60,43,34,10,5,,,6,9,22,41,145,6,7,1,4,6
Rhyne Williams,Nikolay Davydenko,1,0,2,3,55,56,45,26,11,9,,,6,12,,,132,3,6,6,5,0,57,57,43,28,7,6,,,8,14,,,146,6,4,1,7,6
Ryan Harrison,Rafael Nadal,1,0,0,3,62,41,38,10,11,2,,,0,2,12,21,69,4,2,2,NA,NA,72,42,28,11,3,5,,,5,7,25,31,94,6,6,6,NA,NA
Novak Djokovic,Ricardas Berankis,1,1,3,0,68,36,32,14,10,1,,,7,14,15,23,91,6,6,6,NA,NA,53,18,47,9,3,4,,,1,8,7,15,50,1,2,2,NA,NA
Benjamin Becker,Lukas Rosol,1,1,3,1,52,38,48,27,8,5,,,8,17,,,125,6,3,6,6,NA,47,44,53,27,18,14,,,5,12,,,111,3,6,3,4,NA
Lukasz Kubot,Jarkko Nieminen,1,0,0,3,38,28,62,27,5,14,,,4,8,,,86,5,5,2,NA,NA,59,38,41,19,6,3,,,7,11,,,111,7,7,6,NA,NA
Joao Sousa,Grigor Dimitrov,1,1,3,2,58,61,42,27,5,2,,,8,11,,,145,3,6,6,5,6,58,53,42,27,13,7,,,6,14,,,134,6,3,4,7,2
Tommy Haas,Paul-Henri Mathieu,1,1,3,0,59,38,41,15,14,5,,,6,8,5,5,89,6,6,6,NA,NA,56,29,44,16,7,8,,,1,3,8,20,63,4,4,1,NA,NA
Yen-Hsun Lu,Daniel Gimeno-Traver,1,1,3,0,67,49,33,19,4,4,,,3,9,,,116,6,7,6,NA,NA,56,45,44,22,14,4,,,1,2,,,90,4,6,3,NA,NA
Donald Young,Martin Klizan,1,1,3,0,74,39,26,10,3,7,,,8,13,9,15,86,6,6,6,NA,NA,47,10,53,10,4,5,,,0,9,8,20,45,1,0,1,NA,NA
Florian Mayer,Juan Monaco,1,1,3,0,65,34,35,15,5,1,,,5,8,,,77,6,6,3,NA,NA,63,20,37,11,1,5,,,0,3,,,51,4,2,0,NA,NA
Tobias Kamke,Steve Johnson,1,1,3,1,53,55,47,39,10,7,,,4,15,14,24,157,6,6,7,6,NA,48,56,52,40,12,10,,,1,5,24,40,137,7,4,6,2,NA
Denis Istomin,Nicolas Almagro,1,1,3,1,64,50,36,23,13,2,,,7,11,,,112,6,6,4,6,NA,64,36,36,14,7,5,,,3,9,,,84,3,1,6,3,NA
Julien Benneteau,Michal Przysiezny,1,1,3,1,61,49,39,25,7,6,,,6,11,,,125,6,5,6,6,NA,58,52,42,27,14,2,,,4,6,,,110,4,7,4,4,NA
Sergiy Stakhovsky,Jeremy Chardy,1,0,2,3,53,62,47,33,7,9,,,3,14,,,156,4,6,2,6,4,56,64,44,40,8,7,,,6,11,,,170,6,4,6,4,6
Jiri Vesely,Denis Kudla,1,0,1,3,55,50,45,30,10,8,,,2,5,,,112,2,2,7,5,NA,63,56,37,27,7,5,,,7,17,,,140,6,6,6,7,NA
Paolo Lorenzi,Tomas Berdych,1,0,0,3,48,27,52,11,2,6,,,2,4,9,20,62,1,4,1,NA,NA,56,34,44,12,10,3,,,8,15,21,28,93,6,6,6,NA,NA
Pablo Andujar,Thiemo de Bakker,1,1,3,0,60,44,40,19,5,3,,,5,9,,,105,6,6,6,NA,NA,52,33,48,19,9,4,,,2,7,,,82,4,4,4,NA,NA
Thomas Fabbiano,Milos Raonic,1,0,0,3,66,46,34,17,0,7,,,1,5,13,15,87,3,6,3,NA,NA,63,51,37,19,28,4,,,3,12,12,20,116,6,7,6,NA,NA
Jerzy Janowicz,Maximo Gonzalez,1,0,0,3,58,40,42,17,3,11,,,2,10,16,25,92,4,4,2,NA,NA,65,45,35,13,9,4,,,6,16,12,20,111,6,6,6,NA,NA
Jack Sock,Philipp Petzschner,1,1,2,1,51,36,49,29,6,8,,,3,8,13,23,100,7,3,5,NA,NA,46,29,54,27,10,5,,,3,8,13,21,91,6,6,2,NA,NA
Roger Federer,Grega Zemlja,1,1,3,0,60,41,40,21,12,2,,,5,11,20,21,103,6,6,7,NA,NA,49,29,51,18,9,9,,,1,3,5,13,65,3,2,5,NA,NA
Santiago Giraldo,Carlos Berlocq,1,0,2,3,58,63,42,30,9,6,,,6,9,18,29,146,3,6,7,4,2,64,61,36,30,5,7,,,9,22,18,28,163,6,3,6,6,6
Horacio Zeballos,Adrian Mannarino,1,0,1,3,52,44,48,29,8,7,,,1,6,,,109,6,4,2,1,NA,57,47,43,30,11,7,,,6,13,,,135,4,6,6,6,NA
Guido Pella,Sam Querrey,1,0,1,3,56,54,44,31,6,9,,,1,7,19,28,117,6,6,1,2,NA,58,60,42,26,24,4,,,4,18,16,24,145,7,4,6,6,NA
John Isner,Filippo Volandri,1,1,3,0,73,42,27,11,16,3,,,6,7,12,17,87,6,6,6,NA,NA,56,18,44,10,1,5,,,0,2,5,10,45,0,2,3,NA,NA
Adrian Ungur,Gael Monfils,1,0,0,3,56,18,44,8,1,7,,,1,1,6,14,38,1,2,0,NA,NA,84,33,16,4,5,1,,,9,13,8,12,81,6,6,6,NA,NA
Albert Montanes,Edouard Roger-Vasselin,1,0,0,3,51,29,49,20,4,8,,,0,0,,,57,3,2,4,NA,NA,64,38,36,18,10,1,,,4,11,,,93,6,6,6,NA,NA
Collin Altamirano,Philipp Kohlschreiber,1,0,0,3,58,27,42,8,3,3,,,0,0,4,4,50,1,3,1,NA,NA,58,31,42,16,10,4,,,7,12,16,17,86,6,6,6,NA,NA
Rogerio Dutra Silva,Vasek Pospisil,1,1,3,2,58,64,42,39,3,3,,,6,16,,,178,4,3,7,6,7,48,66,52,46,21,15,,,7,18,,,176,6,6,6,2,6
Benoit Paire,Alex Bogomolov Jr.,1,0,2,3,51,72,49,40,29,11,,,6,23,36,49,191,5,6,4,7,6,64,82,36,33,2,6,,,5,12,21,42,181,7,2,6,5,7
Tim Smyczek,James Duckworth,1,1,3,1,66,47,34,21,4,2,,,7,17,24,36,134,3,6,6,6,NA,55,47,45,26,8,5,,,3,7,22,39,114,6,2,4,1,NA
Jurgen Zopp,Marcel Granollers,1,0,2,3,51,46,49,27,5,9,,,6,10,,,116,1,6,6,3,4,52,43,48,27,13,9,,,8,16,,,132,6,3,1,6,6
Rajeev Ram,Fabio Fognini,1,1,3,0,73,40,27,10,8,1,,,7,16,20,27,90,6,6,6,NA,NA,54,21,46,13,3,7,,,1,3,8,15,55,1,2,2,NA,NA
David Goffin,Alexandr Dolgopolov,1,0,0,3,67,44,33,14,7,8,,,2,8,,,93,2,4,4,NA,NA,45,34,55,27,6,4,,,6,21,,,115,6,6,6,NA,NA
Nicolas Mahut,Mikhail Youzhny,1,0,0,3,63,50,37,22,6,5,,,1,3,,,94,4,4,6,NA,NA,64,50,36,20,8,3,,,3,11,,,115,6,6,7,NA,NA
Jurgen Melzer,Evgeny Donskoy,1,0,0,3,65,39,35,17,4,2,,,3,10,,,96,5,3,6,NA,NA,57,48,43,27,5,1,,,4,10,,,116,7,6,7,NA,NA
Igor Sijsling,Peter Gojowczyk,1,0,1,3,55,49,45,24,13,3,,,4,9,,,107,6,6,4,1,NA,51,40,49,29,8,6,,,6,11,,,124,7,2,6,6,NA
Lleyton Hewitt,Brian Baker,1,1,3,1,46,38,54,29,8,7,,,10,19,14,27,129,6,4,6,6,NA,49,32,51,28,14,10,,,7,12,12,25,110,3,6,3,4,NA
Guillermo Garcia-Lopez,Juan Martin Del Potro,1,0,1,3,48,57,52,45,13,3,,,1,4,22,32,133,3,7,4,6,NA,62,62,38,31,13,4,,,4,13,26,29,163,6,6,6,7,NA
Andy Murray,Michael Llodra,1,1,3,0,67,36,33,15,3,0,,,6,8,19,26,91,6,6,6,NA,NA,63,31,37,12,2,6,,,1,2,33,60,61,2,4,3,NA,NA
Victor Hanescu,Leonardo Mayer,1,0,1,3,67,72,33,29,5,1,,,3,13,,,156,6,4,6,6,NA,57,60,43,37,8,8,,,3,14,,,157,7,6,3,7,NA
Andreas Seppi,Xavier Malisse,1,1,3,1,59,62,41,24,12,4,,,5,10,,,138,6,3,7,7,NA,46,41,54,36,14,5,,,4,9,,,124,3,6,5,5,NA
Lukas Lacko,Somdev Devvarman,1,0,2,3,50,48,50,29,11,6,,,5,12,10,16,133,6,1,2,6,4,56,60,44,31,5,3,,,8,12,27,29,151,4,6,6,4,6
Stanislas Wawrinka,Radek Stepanek,1,1,3,0,51,32,49,27,7,2,,,6,13,11,18,103,7,6,6,NA,NA,66,37,34,16,1,3,,,3,7,37,64,88,6,3,2,NA,NA
James Blake,Ivo Karlovic,1,0,2,3,64,82,36,36,9,6,,,4,11,35,46,170,7,6,4,6,6,63,90,37,29,38,8,,,3,11,48,81,167,6,3,6,7,7
Marcos Baghdatis,Go Soeda,1,1,3,0,60,34,40,20,16,3,,,5,10,5,8,89,6,6,6,NA,NA,54,30,46,15,0,5,,,0,1,10,15,63,4,3,1,NA,NA
Daniel Brands,Kevin Anderson,1,0,1,3,59,58,41,20,10,6,,,1,6,16,27,113,5,6,2,3,NA,53,50,47,35,20,6,,,4,15,21,27,126,7,4,6,6,NA
Richard Gasquet,Stephane Robert,1,1,3,0,58,50,42,22,8,6,,,6,12,14,23,112,6,7,7,NA,NA,53,35,47,19,8,5,,,3,10,20,29,97,3,5,5,NA,NA
Guillaume Rufin,Dmitry Tursunov,1,0,0,2,43,14,57,12,4,1,,,1,8,,,48,6,1,NA,NA,NA,58,24,42,13,3,3,,,1,2,,,51,7,1,NA,NA,NA
Feliciano Lopez,Bradley Klahn,1,1,3,1,52,59,48,38,23,10,,,4,9,19,29,141,6,7,4,7,NA,71,69,29,18,17,3,,,3,9,24,39,140,4,6,6,5,NA
Pablo Andujar,Milos Raonic,1,0,0,3,64,32,36,17,2,5,,,1,7,10,19,79,1,2,4,NA,NA,63,44,37,12,9,2,,,6,18,33,56,102,6,6,6,NA,NA
Maximo Gonzalez,Jack Sock,1,0,1,3,68,51,32,17,3,4,,,4,10,14,25,104,6,6,5,2,NA,62,54,38,25,7,9,,,4,7,22,28,116,7,1,7,6,NA
Dudi Sela,Janko Tipsarevic,1,0,0,3,62,30,38,10,1,7,,,2,13,,,74,4,4,1,NA,NA,44,32,56,31,3,3,,,7,11,,,102,6,6,6,NA,NA
Andreas Haider-Maurer,Mikhail Kukushkin,1,0,0,3,60,45,40,17,7,5,,,0,5,,,91,4,4,5,NA,NA,57,42,43,29,7,0,,,3,3,,,105,6,6,7,NA,NA
Roberto Bautista Agut,David Ferrer,1,0,1,3,62,42,38,20,2,5,,,3,8,21,24,104,3,7,1,2,NA,59,48,41,29,10,3,,,8,16,19,29,135,6,6,6,6,NA
Roger Federer,Carlos Berlocq,1,1,3,0,52,27,48,22,6,2,,,7,13,28,40,94,6,6,6,NA,NA,84,36,16,2,1,2,,,1,3,7,17,58,3,2,1,NA,NA
Adrian Mannarino,Sam Querrey,1,1,3,1,55,68,45,41,13,3,,,2,6,28,45,157,7,7,6,6,NA,58,77,42,34,25,7,,,1,8,15,24,150,6,6,7,4,NA
Tommy Robredo,Frank Dancevic,1,1,3,0,64,39,36,12,9,3,,,7,11,9,15,92,6,6,6,NA,NA,65,34,35,10,4,3,,,2,10,23,43,65,4,4,1,NA,NA
Bernard Tomic,Daniel Evans,1,0,1,3,62,47,38,23,8,2,,,6,11,18,25,117,6,3,6,3,NA,56,43,44,27,9,7,,,6,15,32,40,125,1,6,7,6,NA
John Isner,Gael Monfils,1,1,3,1,70,71,30,21,23,2,,,3,9,37,63,130,7,6,4,7,NA,83,74,17,11,7,3,,,1,7,9,16,120,5,2,6,6,NA
Edouard Roger-Vasselin,Philipp Kohlschreiber,1,0,1,3,61,48,39,25,3,3,,,3,3,25,41,102,3,2,7,2,NA,58,44,42,26,13,2,,,7,23,14,20,130,6,6,5,6,NA
Ivan Dodig,Nikolay Davydenko,1,1,3,0,66,45,34,14,16,0,,,5,10,,,93,6,6,6,NA,NA,51,25,49,18,2,4,,,1,6,,,67,1,4,4,NA,NA
Rogerio Dutra Silva,Rafael Nadal,1,0,0,3,58,21,42,12,2,5,,,0,1,4,12,46,2,1,0,NA,NA,69,30,31,11,3,0,,,8,14,9,10,84,6,6,6,NA,NA
Novak Djokovic,Benjamin Becker,1,1,3,0,74,48,26,11,13,2,,,5,14,15,22,102,7,6,6,NA,NA,59,33,41,19,6,4,,,1,1,6,10,73,6,2,2,NA,NA
Jarkko Nieminen,Joao Sousa,1,0,2,3,64,65,36,25,9,9,,,5,12,,,138,6,3,6,3,4,63,66,37,23,6,3,,,4,11,,,145,1,6,3,6,6
Alex Bogomolov Jr.,Tim Smyczek,1,0,2,3,69,87,31,30,8,9,,,6,14,24,33,173,6,6,6,4,4,63,73,37,26,21,3,,,5,16,28,44,169,3,7,2,6,6
Marcel Granollers,Rajeev Ram,1,1,3,2,62,63,38,28,14,4,,,6,11,25,42,145,3,4,6,6,7,66,66,34,22,11,2,,,4,10,45,79,127,6,6,2,3,5
Tommy Haas,Yen-Hsun Lu,1,1,3,0,60,51,40,20,15,9,,,6,10,15,20,118,6,6,7,NA,NA,68,44,32,13,4,5,,,4,13,11,23,101,3,4,6,NA,NA
Alexandr Dolgopolov,Mikhail Youzhny,1,0,0,3,53,35,47,19,10,4,,,2,9,,,84,5,1,3,NA,NA,52,33,48,23,8,3,,,7,19,,,104,7,6,6,NA,NA
Evgeny Donskoy,Peter Gojowczyk,1,1,3,2,55,63,45,34,9,2,,,5,17,,,155,6,6,3,4,6,55,67,45,30,15,8,,,4,10,,,151,3,4,6,6,3
Lleyton Hewitt,Juan Martin Del Potro,1,1,3,2,50,56,50,38,10,7,,,8,18,32,50,160,6,5,3,7,6,57,57,43,39,11,8,,,6,11,21,36,151,4,7,6,6,1
Andy Murray,Leonardo Mayer,1,1,3,1,57,41,43,35,5,3,,,5,9,17,26,117,7,6,3,6,NA,63,40,37,16,6,5,,,1,9,29,50,87,5,1,6,1,NA
Donald Young,Florian Mayer,1,0,0,3,62,42,38,20,5,8,,,3,13,31,54,109,5,3,4,NA,NA,57,48,43,21,10,6,,,7,21,18,26,126,7,6,6,NA,NA
Andreas Seppi,Somdev Devvarman,1,1,3,0,52,48,48,27,5,7,,,7,13,23,33,123,7,6,7,NA,NA,56,41,44,24,7,4,,,5,18,13,22,114,6,4,5,NA,NA
Tobias Kamke,Denis Istomin,1,0,0,3,46,19,54,23,3,5,,,2,2,,,62,4,2,2,NA,NA,46,24,54,21,6,3,,,7,13,,,82,6,6,6,NA,NA
Stanislas Wawrinka,Ivo Karlovic,1,1,3,0,60,51,40,25,9,5,,,3,7,25,36,111,7,7,6,NA,NA,63,52,37,21,12,6,,,1,2,37,59,98,5,6,4,NA,NA
Marcos Baghdatis,Kevin Anderson,1,1,3,0,43,24,57,24,10,6,,,6,12,6,8,82,6,6,6,NA,NA,64,27,36,11,7,4,,,0,0,4,14,53,2,2,2,NA,NA
Julien Benneteau,Jeremy Chardy,1,1,3,0,58,39,42,18,9,2,,,7,12,14,21,98,6,6,6,NA,NA,57,29,43,13,11,9,,,3,9,12,22,76,4,3,4,NA,NA
Denis Kudla,Tomas Berdych,1,0,0,3,60,49,40,26,1,6,,,4,14,12,15,114,6,6,3,NA,NA,57,49,43,28,11,3,,,5,15,12,24,141,7,7,6,NA,NA
Richard Gasquet,Dmitry Tursunov,1,1,3,1,64,42,36,21,14,4,,,4,11,14,25,112,6,2,6,4,NA,53,46,47,24,25,4,,,3,7,12,21,99,3,6,4,2,NA
Feliciano Lopez,Milos Raonic,1,0,1,3,59,56,41,29,7,8,,,0,4,17,27,113,7,4,3,4,NA,67,66,33,19,28,6,,,4,8,23,38,134,6,6,6,6,NA
Jack Sock,Janko Tipsarevic,1,0,1,3,46,35,54,27,19,8,,,2,6,12,17,90,6,6,1,2,NA,56,46,44,33,18,2,,,4,8,14,19,116,3,7,6,6,NA
Mikhail Kukushkin,David Ferrer,1,0,1,3,51,50,49,27,4,3,,,6,8,15,27,112,4,3,6,4,NA,60,47,40,20,7,2,,,8,26,15,19,136,6,6,4,6,NA
Roger Federer,Adrian Mannarino,1,1,3,0,57,36,43,15,8,4,,,6,14,19,24,90,6,6,6,NA,NA,65,27,35,9,1,0,,,0,1,9,18,54,3,0,2,NA,NA
Tommy Robredo,Daniel Evans,1,1,3,1,60,58,40,25,11,5,,,7,14,22,37,150,7,6,4,7,NA,62,65,38,23,8,8,,,4,11,41,66,130,6,1,6,5,NA
John Isner,Philipp Kohlschreiber,1,0,1,3,74,72,26,14,26,5,,,2,7,18,31,123,4,6,5,6,NA,73,73,27,20,6,1,,,3,4,15,18,123,6,3,7,7,NA
Ivan Dodig,Rafael Nadal,1,0,0,3,52,28,48,18,6,1,,,0,2,13,27,63,4,3,3,NA,NA,65,41,35,20,3,2,,,4,7,14,17,90,6,6,6,NA,NA
Novak Djokovic,Joao Sousa,1,1,3,0,68,30,32,12,3,2,,,8,13,22,30,94,6,6,6,NA,NA,59,30,41,10,2,3,,,1,2,10,21,54,0,2,2,NA,NA
Tim Smyczek,Marcel Granollers,1,0,2,3,61,63,39,26,10,3,,,7,16,39,55,146,4,6,6,3,5,59,66,41,28,10,3,,,6,12,25,43,147,6,4,0,6,7
Tommy Haas,Mikhail Youzhny,1,0,1,3,50,37,50,22,5,1,,,4,9,25,41,95,3,2,6,3,NA,57,43,43,21,9,6,,,7,12,12,21,109,6,6,2,6,NA
Evgeny Donskoy,Lleyton Hewitt,1,0,1,3,58,55,42,17,13,2,,,1,7,6,14,111,3,6,6,1,NA,52,49,48,37,11,2,,,4,7,24,31,128,6,7,3,6,NA
Andy Murray,Florian Mayer,1,1,3,0,51,37,49,25,7,2,,,4,10,8,12,99,7,6,6,NA,NA,62,40,38,15,0,2,,,0,2,21,39,74,6,2,2,NA,NA
Andreas Seppi,Denis Istomin,1,0,2,3,61,55,39,23,10,5,,,5,19,14,24,134,3,4,6,6,1,65,65,35,23,24,6,,,6,8,17,27,138,6,6,2,3,6
Stanislas Wawrinka,Marcos Baghdatis,1,1,3,1,52,55,48,37,11,5,,,5,15,25,30,151,6,6,6,7,NA,47,50,53,43,16,8,,,2,9,25,37,132,3,2,7,6,NA
Julien Benneteau,Tomas Berdych,1,0,0,3,52,25,48,12,5,6,,,0,3,13,20,63,0,3,2,NA,NA,58,39,42,14,11,1,,,6,14,13,17,93,6,6,6,NA,NA
Richard Gasquet,Milos Raonic,1,1,3,2,59,81,41,45,6,9,,,5,21,31,44,195,6,7,2,7,7,56,83,44,46,39,11,,,6,22,47,69,207,7,6,6,6,5
Janko Tipsarevic,David Ferrer,1,0,1,3,59,68,41,34,8,5,,,5,14,29,48,153,6,6,5,6,NA,65,68,35,23,13,4,,,5,16,33,42,164,7,3,7,7,NA
Roger Federer,Tommy Robredo,1,0,0,3,60,38,40,16,5,0,,,2,16,32,52,101,6,3,4,NA,NA,70,61,30,17,6,4,,,4,7,11,17,110,7,6,6,NA,NA
Philipp Kohlschreiber,Rafael Nadal,1,0,1,3,63,58,37,26,12,1,,,0,1,22,34,112,7,4,3,1,NA,66,54,34,26,3,0,,,5,21,23,31,136,6,6,6,6,NA
Mikhail Youzhny,Lleyton Hewitt,1,1,3,2,59,55,41,29,9,6,,,10,14,26,37,145,6,3,6,6,7,52,48,48,37,8,9,,,8,12,39,67,146,3,6,7,4,5
Andy Murray,Denis Istomin,1,1,3,1,63,58,37,23,5,5,,,6,15,32,38,129,6,6,6,6,NA,69,55,31,20,4,2,,,2,4,19,37,114,7,1,4,4,NA
Stanislas Wawrinka,Tomas Berdych,1,1,3,1,58,55,42,27,14,6,,,6,11,11,15,127,3,6,7,6,NA,58,51,42,19,3,3,,,3,6,29,42,110,6,1,6,2,NA
Richard Gasquet,David Ferrer,1,1,3,2,59,57,41,31,6,3,,,6,14,30,45,142,6,6,4,2,6,63,53,37,29,5,3,,,4,15,38,53,137,3,1,6,6,3
Tommy Robredo,Rafael Nadal,1,0,0,3,52,20,48,9,3,4,,,0,0,7,15,43,0,2,2,NA,NA,61,31,39,14,2,0,,,7,10,15,16,82,6,6,6,NA,NA
Novak Djokovic,Mikhail Youzhny,1,1,3,1,68,49,32,19,5,1,,,7,12,27,39,115,6,6,3,6,NA,56,29,44,23,2,4,,,2,10,10,21,87,3,2,6,0,NA
Andy Murray,Stanislas Wawrinka,1,0,0,3,63,37,37,22,5,4,,,0,0,10,22,78,4,3,2,NA,NA,55,37,45,20,4,4,,,4,11,31,42,107,6,6,6,NA,NA
Novak Djokovic,Stanislas Wawrinka,1,1,3,2,67,64,33,25,9,6,,,4,19,29,40,165,2,7,3,6,6,50,68,50,48,8,7,,,5,9,26,41,165,6,6,6,3,4
Richard Gasquet,Rafael Nadal,1,0,0,3,64,41,36,15,6,4,,,1,6,24,35,84,4,6,2,NA,NA,71,51,29,16,3,1,,,4,4,22,28,102,6,7,6,NA,NA
Novak Djokovic,Rafael Nadal,1,0,1,3,68,40,32,16,6,2,,,3,11,22,36,102,2,6,4,1,NA,64,51,36,24,1,1,,,7,12,17,23,121,6,3,6,6,NA
